"LegalEntityIdentifier","ShortCode","EnterpriseId","TableName","DeterminantType","MinimumDigits","Prefix","Suffix"
"LE_328","","","PURCHASE_ORDER","SOLD_TO_LE","","ES328-",""
"","Squareup International Limited, Establecimiento Permanente en España (SP) - 328","1","REQUISITION","REQUISITIONING_BU","","PR328-",""
"LE_220","","","PURCHASE_ORDER","SOLD_TO_LE","","CN220-",""
"LE_001","","","PURCHASE_ORDER","SOLD_TO_LE","","US101-",""
"LE_151","","","PURCHASE_ORDER","SOLD_TO_LE","","CA151-",""
"","US","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"","Canada","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"","US","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","US101-",""
"","Canada","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","",""
"","Square Financial Services (US) - 131","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","SFS131-",""
"LE_215","","","PURCHASE_ORDER","SOLD_TO_LE","","TW215-",""
"","TIDAL Music LLC - 121","1","REQUISITION","REQUISITIONING_BU","","PR121-",""
"LE_121","","","PURCHASE_ORDER","SOLD_TO_LE","","TDL121-",""
"","Afterpay Corporate Services Pty Ltd (AU) - 264","1","REQUISITION","REQUISITIONING_BU","","PR264-",""
"","Afterpay Australia Pty Ltd (AU) - 268","1","REQUISITION","REQUISITIONING_BU","","PR268-",""
"LE_338","","","PURCHASE_ORDER","SOLD_TO_LE","","CPSAU338-",""
"","Clearpay S.A.U. (ES) - 338","1","REQUISITION","REQUISITIONING_BU","","PR338-",""
"","Pagantis, S.A. (Italian Branch) (IT) - 340","1","REQUISITION","REQUISITIONING_BU","","PR340-",""
"LE_340","","","PURCHASE_ORDER","SOLD_TO_LE","","PGSA340-",""
"","Squareup International Limited (IE) - 312","1","REQUISITION","REQUISITIONING_BU","","PR312-",""
"","Decentralized Global Payments, SL - 313","1","REQUISITION","REQUISITIONING_BU","","PR313-",""
"","Verse Payments Lithuania, UAB - 314","1","REQUISITION","REQUISITIONING_BU","","PR314-",""
"","Square Canada Inc (CA) - 151","1","REQUISITION","REQUISITIONING_BU","","PR151-",""
"","Square Technologies, Inc (CA) - 152","1","REQUISITION","REQUISITIONING_BU","","PR152-",""
"","US","1","QUALIFICATION","PROCUREMENT_BU","","",""
"","Australia","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"","Ireland","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"","UK","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"","Australia","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","",""
"","Ireland","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","",""
