"PER_LEGAL_EMPLOYER_ORG.OrganizationCode","PER_LEGAL_EMPLOYER_ORG.EffectiveStartDate","PER_LEGAL_EMPLOYER_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_318","0001/01/01","4712/12/31","Legal Employer","Square Capel (IE) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Capel (IE) Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_IE","IE","A","","","","#null"
"LE_319","0001/01/01","4712/12/31","Legal Employer","Cash App Innovation (IE) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Innovation (IE) Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_IE","IE","A","","","","#null"
"LE_131","0001/01/01","4712/12/31","Legal Employer","Square Financial Services Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Financial Services Inc.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_215","0001/01/01","4712/12/31","Legal Employer","Global Risk Engagement B.V. (TWN)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Global Risk Engagement B.V. (TWN),Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","TW","A","","","","#null"
"LE_118","0001/01/01","4712/12/31","Legal Employer","Vandutch Acquisition Corp. (DE)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Vandutch Acquisition Corp. (DE),Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_321","0001/01/01","4712/12/31","Legal Employer","Tidal Music AS","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal Music AS,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","NO","A","","","","#null"
"LE_323","0001/01/01","4712/12/31","Legal Employer","WiMP Music GmbH","0001/01/01","4712/12/31","OrgUnitClassificationMigration","WiMP Music GmbH,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_DE","DE","A","","","","#null"
"LE_324","0001/01/01","4712/12/31","Legal Employer","Tidal US AB","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal US AB,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","SE","A","","","","#null"
"LE_120","0001/01/01","4712/12/31","Legal Employer","Malibu Entertainment Inc.(US)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Malibu Entertainment Inc.(US),Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_320","0001/01/01","4712/12/31","Legal Employer","Aspiro AB","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Aspiro AB,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","SE","A","","","","#null"
"LE_501","0001/01/01","4712/12/31","Legal Employer","Project Panther Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Panther Ltd.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","KY","A","","","","#null"
"LE_503","0001/01/01","4712/12/31","Legal Employer","Tidal Serviços de Entretenimento Ltda","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal Serviços de Entretenimento Ltda,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_BR","BR","A","","","","#null"
"LE_119","0001/01/01","4712/12/31","Legal Employer","Project Rising, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Rising, LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_121","0001/01/01","4712/12/31","Legal Employer","Project Panther US LLC (US)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Panther US LLC (US),Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_305","0001/01/01","4712/12/31","Legal Employer","Project Panther Bidco Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Panther Bidco Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_322","0001/01/01","4712/12/31","Legal Employer","Tidal sp. z o.o.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal sp. z o.o.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","PL","A","","","","#null"
"LE_212","0001/01/01","4712/12/31","Legal Employer","Tidal K.K.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal K.K.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","JP","A","","","","#null"
"LE_325","0001/01/01","4712/12/31","Legal Employer","Tidal Music - Spain, SL","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal Music - Spain, SL,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","ES","A","","","","#null"
"LE_263","0001/01/01","4712/12/31","Legal Employer","Touch Australia Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touch Australia Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_265","0001/01/01","4712/12/31","Legal Employer","Touch Networks Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touch Networks Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_269","0001/01/01","4712/12/31","Legal Employer","Afterpay Warehouse Trust","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Warehouse Trust,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_332","0001/01/01","4712/12/31","Legal Employer","Clearpay (UK) Finance Services Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (UK) Finance Services Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
