"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_504","0001/01/01","4712/12/31","Payroll Statutory Unit","Block of Mexico, SA","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block of Mexico, SA,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","MX","A","","","","#null"
"LE_327","0001/01/01","4712/12/31","Payroll Statutory Unit","GoParrot SRL","0001/01/01","4712/12/31","OrgUnitClassificationMigration","GoParrot SRL,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","MD","A","","","","#null"
"LE_274","0001/01/01","4712/12/31","Payroll Statutory Unit","Lanai (AU) 2 Pty Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 2 Pty Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_273","0001/01/01","4712/12/31","Payroll Statutory Unit","Lanai (AU) 1 Pty Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 1 Pty Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_326","0001/01/01","4712/12/31","Payroll Statutory Unit","Block XYZ Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block XYZ Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","IE","A","","","","#null"
"LE_154","0001/01/01","4712/12/31","Payroll Statutory Unit","Cash App Canada Payments ULC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Canada Payments ULC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_CA","CA","A","","","","#null"
"LE_149","0001/01/01","4712/12/31","Payroll Statutory Unit","LWAC limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","LWAC limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","BM","A","","","","#null"
"LE_234","0001/01/01","4712/12/31","Payroll Statutory Unit","Cash App Australia Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Australia Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_233","0001/01/01","4712/12/31","Payroll Statutory Unit","Cash Holdings Australia Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash Holdings Australia Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_328","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup International Limited, Establecimiento Permanente en España","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup International Limited, Establecimiento Permanente en España,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","IE","A","","","","#null"
"LE_125","0001/01/01","4712/12/31","Payroll Statutory Unit","C Equals LN, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","C Equals LN, LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_329","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup International Limited, Succursale en France","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup International Limited, Succursale en France,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","FR","A","","","","#null"
"LE_161","0001/01/01","4712/12/31","Payroll Statutory Unit","Block XYZ Technology LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block XYZ Technology LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","SG","A","","","","#null"
"LE_343","0001/01/01","4712/12/31","Payroll Statutory Unit","Treasury (IE) Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Treasury (IE) Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","IE","A","","","","#null"
"LE_162","0001/01/01","4712/12/31","Payroll Statutory Unit","Block XYZ International Holdings Inc","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block XYZ International Holdings Inc,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_163","0001/01/01","4712/12/31","Payroll Statutory Unit","Proto Global, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Proto Global, LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_344","0001/01/01","4712/12/31","Payroll Statutory Unit","Block XYZ Limited (Greece), Foreign Branch","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block XYZ Limited (Greece), Foreign Branch,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","GR","A","","","","#null"
"Goose_Config_Export","0001/01/01","4712/12/31","Payroll Statutory Unit","Goose_Config_Export","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Goose_Config_Export,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
