"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","EffectiveStartDate","EffectiveEndDate","Name","Title","GUID","SourceLang","Language","ClassificationCode","ClassificationName","OrganizationCode","OrganizationId"
"LE_234","0001/01/01","4712/12/31","OrganizationMigrationTranslation","EF699CCA55338839E0534893500A21DB","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash App Australia Pty Ltd","","EF699CCA55338839E0534893500A21DB","US","US","HCM_PSU","","LE_234",""
"LE_233","0001/01/01","4712/12/31","OrganizationMigrationTranslation","EF6955554039FCC5E0539696500AE129","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash Holdings Australia Pty Ltd","","EF6955554039FCC5E0539696500AE129","US","US","HCM_PSU","","LE_233",""
"LE_328","0001/01/01","4712/12/31","OrganizationMigrationTranslation","EFDA3B6C77693ABFE0539696500A4E5A","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup International Limited, Establecimiento Permanente en España","","EFDA3B6C77693ABFE0539696500A4E5A","US","US","HCM_PSU","","LE_328",""
"LE_125","0001/01/01","4712/12/31","OrganizationMigrationTranslation","F90ADFF5F4109F6EE0534893500AD286","0001/01/01","4712/12/31","0001/01/01","4712/12/31","C Equals LN, LLC","","F90ADFF5F4109F6EE0534893500AD286","US","US","HCM_PSU","","LE_125",""
"LE_329","0001/01/01","4712/12/31","OrganizationMigrationTranslation","00D64CE9C51768BDE0639696500A79B6","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup International Limited, Succursale en France","","00D64CE9C51768BDE0639696500A79B6","US","US","HCM_PSU","","LE_329",""
"LE_161","0001/01/01","4712/12/31","OrganizationMigrationTranslation","150B217C4F890057E0634893500A4CE7","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Block XYZ Technology LLC","","150B217C4F890057E0634893500A4CE7","US","US","HCM_PSU","","LE_161",""
"LE_343","0001/01/01","4712/12/31","OrganizationMigrationTranslation","2250A48F41D10176E0634893500A6FC0","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Treasury (IE) Ltd","","2250A48F41D10176E0634893500A6FC0","US","US","HCM_PSU","","LE_343",""
"LE_162","0001/01/01","4712/12/31","OrganizationMigrationTranslation","291A5CB0B16DD9B9E0634893500AE96A","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Block XYZ International Holdings Inc","","291A5CB0B16DD9B9E0634893500AE96A","US","US","HCM_PSU","","LE_162",""
"LE_163","0001/01/01","4712/12/31","OrganizationMigrationTranslation","2CB3DFBD98A3E8E3E0639696500AAA25","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Proto Global, LLC","","2CB3DFBD98A3E8E3E0639696500AAA25","US","US","HCM_PSU","","LE_163",""
"LE_344","0001/01/01","4712/12/31","OrganizationMigrationTranslation","3B8A318FDA6136DEE0634893500AF827","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Block XYZ Limited (Greece), Foreign Branch","","3B8A318FDA6136DEE0634893500AF827","US","US","HCM_PSU","","LE_344",""
"Goose_Config_Export","0001/01/01","4712/12/31","OrganizationMigrationTranslation","43E3D6F5A04C9335E063C261500AB8DA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Goose_Config_Export","","43E3D6F5A04C9335E063C261500AB8DA","US","US","HCM_PSU","","Goose_Config_Export",""
