"OrganizationCode","Name","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","Title","CostAllocationKeyflexId","EstablishmentName","InternalAddressLine","InternalExternalFlag","LegalEntityIdentifier","LocationCode","LocationSetCode","Type","GUID","ActionReasonUsagesId","ActionCode","ActionReasonCode","OrganizationId","EstablishmentId","LegalEntityId","LocationId","LocationSetId","ActionId","ActionOccurrenceId","ActionReasonId"
"ORA_SETUP_ENTERPRISE","Setup Enterprise","0001/01/01","2000/12/31","OrganizationMigration","5ACDB8E459882E92E053B55CF00A6361","0001/01/01","","","","","","INT","","","","","5ACDB8E459882E92E053B55CF00A6361","","PER_ORG_UPD","","","#null","#null","#null","#null","","","#null"
"ORA_SETUP_ENTERPRISE","Setup Enterprise","2001/01/01","4712/12/31","OrganizationMigration","5ACDB8E459882E92E053B55CF00A6361","","4712/12/31","","","","","INT","","","","","5ACDB8E459882E92E053B55CF00A6361","","PER_ORG_UPD","","","#null","#null","#null","#null","","","#null"
