"PER_ENTERPRISE_ORG.OrganizationCode","PER_ENTERPRISE_ORG.EffectiveStartDate","PER_ENTERPRISE_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"ORA_SETUP_ENTERPRISE","2001/01/01","4712/12/31","Enterprise","Setup Enterprise","0001/01/01","2000/12/31","OrgUnitClassificationMigration","Setup Enterprise,Enterprise","0001/01/01","","","ENTERPRISE","","A","","","","#null"
"ORA_SETUP_ENTERPRISE","2001/01/01","4712/12/31","Enterprise","Setup Enterprise","2001/01/01","4712/12/31","OrgUnitClassificationMigration","Setup Enterprise,Enterprise","","4712/12/31","","ENTERPRISE","","A","","","","#null"
